pergunta,codigo - pergunta,codigo
"AS2 - Já ouviu falar da IA generativa (Generative AI), ou seja, IA capaz de gerar conteúdos como texto, imagens, entre outros (ex.: ChatGPT, DALL-E)?","AS2 - AS2 - Já ouviu falar da IA generativa (Generative AI), ou seja, IA capaz de gerar conteúdos como texto, imagens, entre outros (ex.: ChatGPT, DALL-E)?",AS2
AS3 - Quais das seguintes tecnologias/aplicações do dia-a-dia que envolvem IA utiliza regularmente? (Seleção múltipla),AS3 - AS3 - Quais das seguintes tecnologias/aplicações do dia-a-dia que envolvem IA utiliza regularmente? (Seleção múltipla),AS3
Com que frequência interage com ferramentas ou serviços que têm IA?,META_57 - Com que frequência interage com ferramentas ou serviços que têm IA?,META_57
AS4 - Indique o seu grau de concordância com as seguintes afirmações sobre IA no seu dia-a-dia: [A IA tem tornado a minha vida mais fácil no dia-a-dia.],AS4 - AS4 - Indique o seu grau de concordância com as seguintes afirmações sobre IA no seu dia-a-dia: [A IA tem tornado a minha vida mais fácil no dia-a-dia.],AS4
AS5 - Indique o seu grau de concordância com as seguintes afirmações sobre IA no seu dia-a-dia: [Preocupa-me o modo como as aplicações de IA usam os meus dados pessoais e a minha privacidade.],AS5 - AS5 - Indique o seu grau de concordância com as seguintes afirmações sobre IA no seu dia-a-dia: [Preocupa-me o modo como as aplicações de IA usam os meus dados pessoais e a minha privacidade.],AS5
AS6 - Indique o seu grau de concordância com as seguintes afirmações sobre IA no seu dia-a-dia: [Prefiro interagir com um ser humano do que com sistemas de IA quando se trata de questões importantes.],AS6 - AS6 - Indique o seu grau de concordância com as seguintes afirmações sobre IA no seu dia-a-dia: [Prefiro interagir com um ser humano do que com sistemas de IA quando se trata de questões importantes.],AS6
AS6 - Indique o seu grau de concordância com as seguintes afirmações sobre IA no seu dia-a-dia: [Consigo perceber como funcionam e como tomam decisões a maioria das tecnologias de IA que utilizo.],AS6 - AS6 - Indique o seu grau de concordância com as seguintes afirmações sobre IA no seu dia-a-dia: [Consigo perceber como funcionam e como tomam decisões a maioria das tecnologias de IA que utilizo.],AS6
AS7 - Utiliza alguma ferramenta de IA com acesso pago?,AS7 - AS7 - Utiliza alguma ferramenta de IA com acesso pago?,AS7
PR2 - Como avalia os seguintes potenciais riscos ou problemas relacionados com o adoção da IA?  [Substituição de empregos humanos pela automação],PR2 - PR2 - Como avalia os seguintes potenciais riscos ou problemas relacionados com o adoção da IA?  [Substituição de empregos humanos pela automação],PR2
PR3 - Como avalia os seguintes potenciais riscos ou problemas relacionados com o adoção da IA?  [Tratamento injusto de pessoas devido a preconceitos nos algoritmos ],PR3 - PR3 - Como avalia os seguintes potenciais riscos ou problemas relacionados com o adoção da IA?  [Tratamento injusto de pessoas devido a preconceitos nos algoritmos ],PR3
PR4 - Como avalia os seguintes potenciais riscos ou problemas relacionados com o adoção da IA?  [Perda de privacidade e uso indevido de dados pessoais],PR4 - PR4 - Como avalia os seguintes potenciais riscos ou problemas relacionados com o adoção da IA?  [Perda de privacidade e uso indevido de dados pessoais],PR4
"PR5 - Como avalia os seguintes potenciais riscos ou problemas relacionados com o adoção da IA?  [Uso malicioso da IA (ex.: criação de desinformação (fake news), ciberataques automatizados)]","PR5 - PR5 - Como avalia os seguintes potenciais riscos ou problemas relacionados com o adoção da IA?  [Uso malicioso da IA (ex.: criação de desinformação (fake news), ciberataques automatizados)]",PR5
PR6 - Como avalia os seguintes potenciais riscos ou problemas relacionados com o adoção da IA?  [Dependência excessiva de sistemas de IA - redução da capacidade humana de tomar decisões ou pensar criticamente],PR6 - PR6 - Como avalia os seguintes potenciais riscos ou problemas relacionados com o adoção da IA?  [Dependência excessiva de sistemas de IA - redução da capacidade humana de tomar decisões ou pensar criticamente],PR6
PR7 - Como avalia os seguintes potenciais riscos ou problemas relacionados com o adoção da IA?  [IA fora de controlo - desenvolvimento de uma inteligência artificial que os humanos não conseguem interromper ou controlar (cenário extremo)],PR7 - PR7 - Como avalia os seguintes potenciais riscos ou problemas relacionados com o adoção da IA?  [IA fora de controlo - desenvolvimento de uma inteligência artificial que os humanos não conseguem interromper ou controlar (cenário extremo)],PR7
"PR8 - Na sua opinião, como classifica a importância destas medidas para mitigar os riscos da IA e aumentar a confiança dos utilizadores? [Leis e regulamentações governamentais rigorosas específicas para IA]","PR8 - PR8 - Na sua opinião, como classifica a importância destas medidas para mitigar os riscos da IA e aumentar a confiança dos utilizadores? [Leis e regulamentações governamentais rigorosas específicas para IA]",PR8
"PR9 - Na sua opinião, como classifica a importância destas medidas para mitigar os riscos da IA e aumentar a confiança dos utilizadores? [Trasparência obrigatótria sobre o funcionamento de algoritmos de IA (explicabilidade das decisões tomadas pela IA)]","PR9 - PR9 - Na sua opinião, como classifica a importância destas medidas para mitigar os riscos da IA e aumentar a confiança dos utilizadores? [Trasparência obrigatótria sobre o funcionamento de algoritmos de IA (explicabilidade das decisões tomadas pela IA)]",PR9
"PR10 - Na sua opinião, como classifica a importância destas medidas para mitigar os riscos da IA e aumentar a confiança dos utilizadores? [Supervisão humana nas decisões críticas tomadas por IA (Intervenção humana quando necessário)]","PR10 - PR10 - Na sua opinião, como classifica a importância destas medidas para mitigar os riscos da IA e aumentar a confiança dos utilizadores? [Supervisão humana nas decisões críticas tomadas por IA (Intervenção humana quando necessário)]",PR10
"PR11 - Na sua opinião, como classifica a importância destas medidas para mitigar os riscos da IA e aumentar a confiança dos utilizadores? [Educação e literacia em IA para todos (formar cidadãos e trabalhadores com competências para compreender, utilizar e avaliar a IA de forma crítica e responsável)]","PR11 - PR11 - Na sua opinião, como classifica a importância destas medidas para mitigar os riscos da IA e aumentar a confiança dos utilizadores? [Educação e literacia em IA para todos (formar cidadãos e trabalhadores com competências para compreender, utilizar e avaliar a IA de forma crítica e responsável)]",PR11
"PR12 - Na sua opinião, como classifica a importância destas medidas para mitigar os riscos da IA e aumentar a confiança dos utilizadores? [Auditorias ou certificações independentes para sistemas de IA (verificação por entidades externas)]","PR12 - PR12 - Na sua opinião, como classifica a importância destas medidas para mitigar os riscos da IA e aumentar a confiança dos utilizadores? [Auditorias ou certificações independentes para sistemas de IA (verificação por entidades externas)]",PR12
"PR13 - Na sua opinião, como classifica a importância destas medidas para mitigar os riscos da IA e aumentar a confiança dos utilizadores? [Guias éticos e autorregulação pelas empresas desenvolvedoras de IA (princípios voluntários de IA responsável)]","PR13 - PR13 - Na sua opinião, como classifica a importância destas medidas para mitigar os riscos da IA e aumentar a confiança dos utilizadores? [Guias éticos e autorregulação pelas empresas desenvolvedoras de IA (princípios voluntários de IA responsável)]",PR13
"PR14 - Na sua opinião, como classifica a importância destas medidas para mitigar os riscos da IA e aumentar a confiança dos utilizadores? [Investimento em IA segura e inclusiva (desenvolver tecnologias de IA com foco em segurança e benefícios sociais)]","PR14 - PR14 - Na sua opinião, como classifica a importância destas medidas para mitigar os riscos da IA e aumentar a confiança dos utilizadores? [Investimento em IA segura e inclusiva (desenvolver tecnologias de IA com foco em segurança e benefícios sociais)]",PR14
PR15 - Em quem confia mais para garantir que a IA seja desenvolvida e utilizada de forma benéfica e ética? ,PR15 - PR15 - Em quem confia mais para garantir que a IA seja desenvolvida e utilizada de forma benéfica e ética? ,PR15
DEM1 - Onde se situa a sua idade?,DEM1 - DEM1 - Onde se situa a sua idade?,DEM1
Género:,META_78 - Género:,META_78
DEM2 - Região de Residência:,DEM2 - DEM2 - Região de Residência:,DEM2
DEM3 - Nivel de Habilitações literárias (educação) mais alto que possui:,DEM3 - DEM3 - Nivel de Habilitações literárias (educação) mais alto que possui:,DEM3
